gss_code,name,country,region,public_url,portal_url,is_active,last_reviewed_at
E06000001,Hartlepool,England,North East,,,TRUE,
E06000002,Middlesbrough,England,North East,,,TRUE,
E06000003,Redcar and Cleveland,England,North East,,,TRUE,
E06000004,Stockton-on-Tees,England,North East,,,TRUE,
E06000005,Darlington,England,North East,,,TRUE,
E06000006,Halton,England,North West,,,TRUE,
E06000007,Warrington,England,North West,,,TRUE,
E06000008,Blackburn with Darwen,England,North West,,,TRUE,
E06000009,Blackpool,England,North West,,,TRUE,
E06000010,"Kingston upon Hull, City of",England,Yorkshire and The Humber,,,TRUE,
E06000011,East Riding of Yorkshire,England,Yorkshire and The Humber,,,TRUE,
E06000012,North East Lincolnshire,England,Yorkshire and The Humber,,,TRUE,
E06000013,North Lincolnshire,England,Yorkshire and The Humber,,,TRUE,
E06000014,York,England,Yorkshire and The Humber,,,TRUE,
E06000015,Derby,England,East Midlands,,,TRUE,
E06000016,Leicester,England,East Midlands,,,TRUE,
E06000017,Rutland,England,East Midlands,,,TRUE,
E06000018,Nottingham,England,East Midlands,,,TRUE,
E06000019,"Herefordshire, County of",England,West Midlands,,,TRUE,
E06000020,Telford and Wrekin,England,West Midlands,,,TRUE,
E06000021,Stoke-on-Trent,England,West Midlands,,,TRUE,
E06000022,Bath and North East Somerset,England,South West,,,TRUE,
E06000023,"Bristol, City of",England,South West,,,TRUE,
E06000024,North Somerset,England,South West,,,TRUE,
E06000025,South Gloucestershire,England,South West,,,TRUE,
E06000026,Plymouth,England,South West,,,TRUE,
E06000027,Torbay,England,South West,,,TRUE,
E06000058,"Bournemouth, Christchurch and Poole",England,South West,,,FALSE,
E06000030,Swindon,England,South West,,,TRUE,
E06000031,Peterborough,England,East of England,,,TRUE,
E06000032,Luton,England,East of England,,,TRUE,
E06000033,Southend-on-Sea,England,East of England,,,TRUE,
E06000034,Thurrock,England,East of England,,,TRUE,
E06000035,Medway,England,South East,,,TRUE,
E06000036,Bracknell Forest,England,South East,,,TRUE,
E06000037,West Berkshire,England,South East,,,TRUE,
E06000038,Reading,England,South East,,,TRUE,
E06000039,Slough,England,South East,,,TRUE,
